dynamics,target,source,K,psi
rossler,0,0,0.0,0.07629772266090194
rossler,0,0,0.01,0.07180418304942399
rossler,0,0,0.02,0.06713469433368555
rossler,0,0,0.03,0.06324908622442864
rossler,0,0,0.04,0.058895226940532105
rossler,0,0,0.05,0.05411909891979375
rossler,0,0,0.06,0.04977692927845011
rossler,0,0,0.07,0.045547880769694064
rossler,0,0,0.08,0.041837070413153946
rossler,0,0,0.09,0.037746142859588355
rossler,0,0,0.1,0.033512916887604535
rossler,0,0,0.11,0.029179197208584952
rossler,0,0,0.12,0.02475425357678497
rossler,0,0,0.13,0.020231455774151776
rossler,0,0,0.14,0.015586321542322482
rossler,0,0,0.15,0.01075360981368871
rossler,0,0,0.16,0.005443630702029629
rossler,0,0,0.17,5.7293170275964785e-05
rossler,0,0,0.18,-0.004275871378333293
rossler,0,0,0.19,-0.008832158596168722
rossler,0,0,0.2,-0.012039301743711145
rossler,0,0,0.21,-0.016667390810630418
rossler,0,0,0.22,-0.020497430622372748
rossler,0,0,0.23,-0.024682139765358255
rossler,0,0,0.24,-0.029155441535744644
rossler,0,0,0.25,-0.033869320630332156
rossler,0,0,0.26,-0.0389073068322681
rossler,0,0,0.27,-0.045111935583871554
rossler,0,0,0.28,-0.04955232732158819
rossler,0,0,0.29,-0.05358564201419389
rossler,0,0,0.3,-0.05872418581152614
rossler,0,0,0.31,-0.0639303836728308
rossler,0,0,0.32,-0.06849646868364982
rossler,0,0,0.33,-0.07264260773727882
rossler,0,0,0.34,-0.07613618790841267
rossler,0,0,0.35000000000000003,-0.08018635254626759
rossler,0,0,0.36,-0.0849837937111207
rossler,0,0,0.37,-0.08905962963152317
rossler,0,0,0.38,-0.0941657292261872
rossler,0,0,0.39,-0.09835738857540724
rossler,0,0,0.4,-0.1035573897276415
rossler,0,0,0.41000000000000003,-0.10969497722425346
rossler,0,0,0.42,-0.11542767585894398
rossler,0,0,0.43,-0.11937895326896214
rossler,0,0,0.44,-0.12339788403413521
rossler,0,0,0.45,-0.12851138486353914
rossler,0,0,0.46,-0.1360283995521678
rossler,0,0,0.47000000000000003,-0.1395873568733761
rossler,0,0,0.48,-0.14308648957828699
rossler,0,0,0.49,-0.14782361328717777
rossler,0,0,0.5,-0.1540830594096046
rossler,0,0,0.51,-0.16040390073269292
rossler,0,0,0.52,-0.16250615796552015
rossler,0,0,0.53,-0.1663322597218454
rossler,0,0,0.54,-0.17100739855171496
rossler,0,0,0.55,-0.17573199380593538
rossler,0,0,0.56,-0.17898225413456506
rossler,0,0,0.5700000000000001,-0.18382480941376525
rossler,0,0,0.58,-0.19017674656439018
rossler,0,0,0.59,-0.19388677098719362
rossler,0,0,0.6,-0.1958640247263652
rossler,0,0,0.61,-0.199329229237027
rossler,0,0,0.62,-0.20183086530629016
rossler,0,0,0.63,-0.20596458766497647
rossler,0,0,0.64,-0.20955126764736903
rossler,0,0,0.65,-0.21310119355676008
rossler,0,0,0.66,-0.21686566442634406
rossler,0,0,0.67,-0.2204906032595405
rossler,0,0,0.68,-0.22350739898748453
rossler,0,0,0.6900000000000001,-0.22838255739697422
rossler,0,0,0.7000000000000001,-0.2321054082906179
rossler,0,0,0.71,-0.2365276185505789
rossler,0,0,0.72,-0.23951187265630097
rossler,0,0,0.73,-0.24261429495659478
rossler,0,0,0.74,-0.24716103576787118
rossler,0,0,0.75,-0.2502139833781657
rossler,0,0,0.76,-0.25442907991217156
rossler,0,0,0.77,-0.25930590155932914
rossler,0,0,0.78,-0.26461376841158835
rossler,0,0,0.79,-0.26882858793357267
rossler,0,0,0.8,-0.27394047554688805
rossler,0,0,0.81,-0.2803094018640124
rossler,0,0,0.8200000000000001,-0.2863723406503372
rossler,0,0,0.8300000000000001,-0.2904245526590505
rossler,0,0,0.84,-0.29640912952200393
rossler,0,0,0.85,-0.30435513127263386
rossler,0,0,0.86,-0.30803584066776135
rossler,0,0,0.87,-0.313775156240965
rossler,0,0,0.88,-0.3169413063003258
rossler,0,0,0.89,-0.32199987088522397
rossler,0,0,0.9,-0.32725717383085023
rossler,0,0,0.91,-0.3334496196156498
rossler,0,0,0.92,-0.33819228676810575
rossler,0,0,0.93,-0.34231509412927486
rossler,0,0,0.9400000000000001,-0.34823446254898255
rossler,0,0,0.9500000000000001,-0.3503402207056779
rossler,0,0,0.96,-0.35713577238656
rossler,0,0,0.97,-0.36025371834513376
rossler,0,0,0.98,-0.3642724826307315
rossler,0,0,0.99,-0.36576137847222706
