dynamics,target,source,K,psi
hr,0,1,0.0,0.011492821187916953
hr,0,1,0.005,0.014313926353701975
hr,0,1,0.01,0.02181879729895424
hr,0,1,0.015,0.03548002614436704
hr,0,1,0.02,0.044770809847057516
hr,0,1,0.025,0.04904511116724074
hr,0,1,0.03,0.05205555550402214
hr,0,1,0.035,0.05353172646343394
hr,0,1,0.04,0.05366168382614678
hr,0,1,0.045,0.05390718893121711
hr,0,1,0.05,0.053403106857256015
hr,0,1,0.055,0.05189356610446596
hr,0,1,0.06,0.051955903730186756
hr,0,1,0.065,0.051554178409856724
hr,0,1,0.07,0.05084005792208743
hr,0,1,0.075,0.04956996958220976
hr,0,1,0.08,0.04718899106099413
hr,0,1,0.085,0.046692675140077904
hr,0,1,0.09,0.04523881174367368
hr,0,1,0.095,0.043532817515746794
hr,0,1,0.1,0.04162315676300404
hr,0,1,0.105,0.039476669407681166
hr,0,1,0.11,0.03695144861226981
hr,0,1,0.115,0.03272928926112486
hr,0,1,0.12,0.030585171668511036
hr,0,1,0.125,0.03104534136449788
hr,0,1,0.13,0.029716336152285843
hr,0,1,0.135,0.027290786926988445
hr,0,1,0.14,0.02640841564272334
hr,0,1,0.145,0.025308345193854293
hr,0,1,0.15,0.023674317592986167
hr,0,1,0.155,0.02163381367333812
hr,0,1,0.16,0.019171867838752254
hr,0,1,0.165,0.01632778391804905
hr,0,1,0.17,0.015771375001100284
hr,0,1,0.17500000000000002,0.01404192059536828
hr,0,1,0.18,0.01160885987929314
hr,0,1,0.185,0.008677686655062213
hr,0,1,0.19,0.007390466256296525
hr,0,1,0.195,0.007156313903649377
hr,0,1,0.2,0.005910463273523158
hr,0,1,0.20500000000000002,0.005944591547470342
hr,0,1,0.21,0.005793040383160482
hr,0,1,0.215,0.004926756687673409
hr,0,1,0.22,0.0036372044726704347
hr,0,1,0.225,0.0017129734254484408
hr,0,1,0.23,-0.0015119970393611207
hr,0,1,0.23500000000000001,-0.00182196581856987
hr,0,1,0.24,-0.004195989242991229
hr,0,1,0.245,-0.0007910675758798424
hr,0,1,0.25,9.320086744355122e-05
hr,0,1,0.255,0.00039656926281614384
hr,0,1,0.26,0.0004152615397432477
hr,0,1,0.265,0.00018772700354793815
hr,0,1,0.27,-0.0005410287793593526
hr,0,1,0.275,9.115660987310614e-05
hr,0,1,0.28,0.00014911137349931218
hr,0,1,0.28500000000000003,9.589466739644803e-05
hr,0,1,0.29,-1.2661920880824696e-05
hr,0,1,0.295,-0.00015504096612329604
hr,0,1,0.3,-0.00031996364411309504
hr,0,1,0.305,-0.0005006131965714074
hr,0,1,0.31,-0.0006925483084055696
hr,0,1,0.315,-0.000892753224923949
hr,0,1,0.32,-0.0010991352316346962
hr,0,1,0.325,-0.0013102298080818957
hr,0,1,0.33,-0.0015250144428999004
hr,0,1,0.335,-0.0017427846563764472
