dynamics,target,source,K,psi
hr,1,1,0.0,0.011492821187916953
hr,1,1,0.003,0.011053564786984228
hr,1,1,0.006,0.00986338651567426
hr,1,1,0.009000000000000001,0.008565565955053289
hr,1,1,0.012,0.007004748134939058
hr,1,1,0.015,0.005217831491616718
hr,1,1,0.018000000000000002,0.0041338790231005805
hr,1,1,0.021,0.006535411459285975
hr,1,1,0.024,0.00654176806125468
hr,1,1,0.027,0.005724771725168784
hr,1,1,0.03,0.005668144645485048
hr,1,1,0.033,0.005391864484044947
hr,1,1,0.036000000000000004,0.0055312948383935325
hr,1,1,0.039,0.005073012028626952
hr,1,1,0.042,0.004961354829782992
hr,1,1,0.045,0.004701342968743915
hr,1,1,0.048,0.00385849264319866
hr,1,1,0.051000000000000004,0.004223627740019747
hr,1,1,0.054,0.004951312045149409
hr,1,1,0.057,0.005230373202572491
hr,1,1,0.06,0.005299867312164196
hr,1,1,0.063,0.005193632473489922
hr,1,1,0.066,0.004875188113501705
hr,1,1,0.069,0.003564554854636301
hr,1,1,0.07200000000000001,0.004449284418142953
hr,1,1,0.075,0.004329433497008699
hr,1,1,0.078,0.004047384927273997
hr,1,1,0.081,0.0036646520307541232
hr,1,1,0.084,0.0032052093827896625
hr,1,1,0.08700000000000001,0.002682765013015786
hr,1,1,0.09,0.0021065994224491852
hr,1,1,0.093,0.001483404790025798
hr,1,1,0.096,0.0008179590591515247
hr,1,1,0.099,0.00011334876820910359
hr,1,1,0.10200000000000001,-0.0006290463500727082
hr,1,1,0.105,-0.0014097677195067464
hr,1,1,0.108,-0.0022317644695883493
hr,1,1,0.111,-0.0031013935490705915
hr,1,1,0.114,-0.004030608253926542
hr,1,1,0.117,-0.005042573752321013
hr,1,1,0.12,-0.006191420443605774
hr,1,1,0.123,-0.007725153008520335
hr,1,1,0.126,-0.008752941684709139
hr,1,1,0.129,-0.009917068377201166
hr,1,1,0.132,-0.010508128886032773
hr,1,1,0.135,-0.01126117709920816
hr,1,1,0.138,-0.011806739878846978
hr,1,1,0.14100000000000001,-0.012891734009663721
hr,1,1,0.14400000000000002,-0.01222395809883023
hr,1,1,0.147,-0.011677430040105932
hr,1,1,0.15,-0.011596350365699983
hr,1,1,0.153,-0.011748556102336298
hr,1,1,0.156,-0.012164921365277824
hr,1,1,0.159,-0.012911946036863476
hr,1,1,0.162,-0.012877385882605985
hr,1,1,0.165,-0.012229616158299142
hr,1,1,0.168,-0.01206973174444802
hr,1,1,0.171,-0.012051788908895878
hr,1,1,0.17400000000000002,-0.01212451227914557
hr,1,1,0.177,-0.012281580511946378
hr,1,1,0.18,-0.012556775997422939
hr,1,1,0.183,-0.013238306630157707
hr,1,1,0.186,-0.013003553491936288
hr,1,1,0.189,-0.01298072579652829
hr,1,1,0.192,-0.013267818615603473
hr,1,1,0.195,-0.01380874967817034
hr,1,1,0.198,-0.013926433755141864
hr,1,1,0.201,-0.012917349068891122
hr,1,1,0.20400000000000001,-0.012562585093008912
hr,1,1,0.20700000000000002,-0.012337108032254455
hr,1,1,0.21,-0.012175681351175598
hr,1,1,0.213,-0.01205383597103557
hr,1,1,0.216,-0.011959267024253765
hr,1,1,0.219,-0.011884754490526372
hr,1,1,0.222,-0.011825628750100363
hr,1,1,0.225,-0.011778659259616549
hr,1,1,0.228,-0.011741498292233183
hr,1,1,0.231,-0.011712374900522309
hr,1,1,0.234,-0.011689914051800697
hr,1,1,0.23700000000000002,-0.01167302352720721
hr,1,1,0.24,-0.011660819864333767
hr,1,1,0.243,-0.011652577964065434
hr,1,1,0.246,-0.011647695657645814
hr,1,1,0.249,-0.011645668076190885
hr,1,1,0.252,-0.01164606864509816
hr,1,1,0.255,-0.011648534679300722
hr,1,1,0.258,-0.011652756252043766
hr,1,1,0.261,-0.01165846744416398
hr,1,1,0.264,-0.011665439359125222
hr,1,1,0.267,-0.01167347447179538
hr,1,1,0.27,-0.011682402001556621
hr,1,1,0.273,-0.011692074084261038
hr,1,1,0.276,-0.011702362576006922
hr,1,1,0.279,-0.011713156363102249
hr,1,1,0.28200000000000003,-0.011724359082367459
hr,1,1,0.28500000000000003,-0.011735887177631426
hr,1,1,0.28800000000000003,-0.01174766823433237
hr,1,1,0.291,-0.01175963954615185
hr,1,1,0.294,-0.011771746876742406
hr,1,1,0.297,-0.011783943386572905
hr,1,1,0.3,-0.011796188700386772
hr,1,1,0.303,-0.011808448094997226
hr,1,1,0.306,-0.01182069179055342
hr,1,1,0.309,-0.011832894331105724
hr,1,1,0.312,-0.011845034042520432
hr,1,1,0.315,-0.011857092557558877
hr,1,1,0.318,-0.01186905439945215
hr,1,1,0.321,-0.011880906616504386
hr,1,1,0.324,-0.011892638461313141
hr,1,1,0.327,-0.011904241109038035
hr,1,1,0.33,-0.011915707409916102
hr,1,1,0.333,-0.011927031671812714
hr,1,1,0.336,-0.011938209469182235
hr,1,1,0.339,-0.011949237475217627
hr,1,1,0.342,-0.01196011331442056
hr,1,1,0.34500000000000003,-0.011970835433134631
hr,1,1,0.34800000000000003,-0.011981402985897184
hr,1,1,0.35100000000000003,-0.011991815735724795
hr,1,1,0.354,-0.012002073966672794
hr,1,1,0.357,-0.01201217840721336
hr,1,1,0.36,-0.01202213016314371
hr,1,1,0.363,-0.012031930658891183
hr,1,1,0.366,-0.012041581586224136
hr,1,1,0.369,-0.012051084859478449
hr,1,1,0.372,-0.012060442576529171
hr,1,1,0.375,-0.012069656984818435
hr,1,1,0.378,-0.012078730451837738
hr,1,1,0.381,-0.012087665439521366
hr,1,1,0.384,-0.01209646448209155
hr,1,1,0.387,-0.012105130166925271
hr,1,1,0.39,-0.012113665118081336
hr,1,1,0.393,-0.012122071982162768
hr,1,1,0.396,-0.012130353416222178
hr,1,1,0.399,-0.01213851207746229
hr,1,1,0.402,-0.01214655061450081
hr,1,1,0.405,-0.012154471660009755
hr,1,1,0.40800000000000003,-0.012162277824548309
hr,1,1,0.41100000000000003,-0.012169971691435426
hr,1,1,0.41400000000000003,-0.012177555812536768
hr,1,1,0.417,-0.012185032704827684
hr,1,1,0.42,-0.012192404847647815
hr,1,1,0.423,-0.012199674680536825
hr,1,1,0.426,-0.012206844601585791
hr,1,1,0.429,-0.012213916966218624
hr,1,1,0.432,-0.012220894086348489
hr,1,1,0.435,-0.012227778229855329
hr,1,1,0.438,-0.01223457162033431
hr,1,1,0.441,-0.012241276437066195
hr,1,1,0.444,-0.012247894815189545
hr,1,1,0.447,-0.012254428846023742
hr,1,1,0.45,-0.012260880577528721
hr,1,1,0.453,-0.012267252014873248
hr,1,1,0.456,-0.012273545121086665
hr,1,1,0.459,-0.012279761817779835
hr,1,1,0.462,-0.012285903985923701
hr,1,1,0.465,-0.012291973466663563
hr,1,1,0.468,-0.012297972062161064
hr,1,1,0.47100000000000003,-0.012303901536459869
hr,1,1,0.47400000000000003,-0.012309763616355416
hr,1,1,0.47700000000000004,-0.01231555999227525
hr,1,1,0.48,-0.01232129231914989
hr,1,1,0.483,-0.012326962217281743
hr,1,1,0.486,-0.012332571273202357
